DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-07-19	33075057	Li X	2020-10-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33075057	Automated feature extraction from population wearable device data identified novel loci associated with sleep and circadian rhythms.	Sleep duration (< 5 hours)	90,515 individuals	NA	7q34	7	140216599	JHDM1D-AS1	RNU6-797P - RNU1-58P	ENSG00000199971	ENSG00000199283		6928	25271	rs573901234-T	rs573901234	0	573901234	intergenic_variant	1	NR	1E-8	8.0		3.294	[2.88-3.71] unit increase	NR [11024754] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST012039	Genome-wide genotyping array
2021-07-19	33075057	Li X	2020-10-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33075057	Automated feature extraction from population wearable device data identified novel loci associated with sleep and circadian rhythms.	Sleep duration (> 10 hours)	90,515 individuals	NA	1p35.2	1	32093021	TMEM39B	TMEM39B			ENSG00000121775			rs74460673-A	rs74460673	0	74460673	intron_variant	0	NR	3E-8	7.522878745280337		3.822	[3.35-4.3] unit increase	NR [11024754] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST012038	Genome-wide genotyping array
2021-07-19	33075057	Li X	2020-10-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33075057	Automated feature extraction from population wearable device data identified novel loci associated with sleep and circadian rhythms.	Sleep duration (> 10 hours)	90,515 individuals	NA	2q31.1	2	170327267	MYO3B	MYO3B			ENSG00000071909			rs573982927-T	rs573982927	0	573982927	intron_variant	0	NR	4E-8	7.3979400086720375		3.46	[3.02-3.9] unit increase	NR [11024754] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST012038	Genome-wide genotyping array
2021-07-19	33075057	Li X	2020-10-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33075057	Automated feature extraction from population wearable device data identified novel loci associated with sleep and circadian rhythms.	Sleep duration (> 10 hours)	90,515 individuals	NA	4q28.3	4	138207871	SLC7A11	SLC7A11			ENSG00000151012			rs182651559-T	rs182651559	0	182651559	intron_variant	0	NR	1E-8	8.0		4.989	[4.44-5.54] unit increase	NR [11024754] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST012038	Genome-wide genotyping array
2021-07-19	33075057	Li X	2020-10-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33075057	Automated feature extraction from population wearable device data identified novel loci associated with sleep and circadian rhythms.	Sleep duration (> 10 hours)	90,515 individuals	NA	8q24.21	8	130375050	ASAP1	ASAP1			ENSG00000153317			rs571444813-T	rs571444813	0	571444813	intron_variant	0	NR	5E-8	7.301029995663981		5.568	[4.95-6.18] unit increase	NR [11024754] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST012038	Genome-wide genotyping array
2021-07-19	33075057	Li X	2020-10-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33075057	Automated feature extraction from population wearable device data identified novel loci associated with sleep and circadian rhythms.	Sleep duration (> 10 hours)	90,515 individuals	NA	22q11.23	22	23862251	SLC2A11	SLC2A11			ENSG00000133460			rs138381486-T	rs138381486	0	138381486	intron_variant	0	NR	5E-8	7.301029995663981		1.797	[1.59-2.01] unit increase	NR [11024754] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST012038	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	14q23.2	14	62886761	KCNH5	KCNH5			ENSG00000140015			rs10138240-G	rs10138240	0	10138240	intron_variant	0	0.513767	9E-6	5.045757490560675		0.020360729	[0.011-0.029] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	10q22.1	10	71387550	SLC29A3	SLC29A3 - CDH23	ENSG00000198246	ENSG00000107736		6127	9370	rs10823730-T	rs10823730	0	10823730	intergenic_variant	1	0.595	6E-9	8.221848749616356		0.027	[0.017-0.037] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	9q33.3	9	125889260	PBX3	PBX3			ENSG00000167081			rs10987006-C	rs10987006	0	10987006	intron_variant	0	0.355	7E-9	8.154901959985743		0.028	[0.018-0.038] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	6q16.1	6	98202301	MIR2113	EIF4EBP2P3 - POU3F2	ENSG00000220505	ENSG00000184486		22469	632273	rs112477743-G	rs112477743	0	112477743	intergenic_variant	1	0.718	1E-8	8.0		0.029	[0.019-0.039] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
